Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2024,Anaheim Ducks,35,80,.488,24,31,4,217,261,2.65,3.18,11.8,74.2,9.1,75.4,27.7,32.3,44.6,Florida Panthers
2024,Arizona Coyotes,38,89,.543,30,37,1,240,247,2.93,3.01,24.2,79.3,20.8,80.9,28.5,27.7,51.6,Florida Panthers
2024,Boston Bruins,33,76,.463,26,33,0,222,271,2.71,3.30,15.2,76.3,9.6,78.8,26.5,28.6,51.7,Florida Panthers
2024,Buffalo Sabres,36,79,.482,29,32,4,265,287,3.23,3.50,18.8,76.4,15.3,80.5,27.8,28.9,47.8,Florida Panthers
2024,Calgary Flames,41,96,.585,31,36,5,220,236,2.68,2.88,21.0,76.1,18.5,79.2,29.4,28.9,46.2,Florida Panthers
2024,Carolina Hurricanes,47,99,.604,42,47,0,266,230,3.24,2.80,18.7,83.6,16.7,87.7,31.7,24.9,52.7,Florida Panthers
2024,Chicago Blackhawks,25,61,.372,20,23,2,224,292,2.73,3.56,24.9,79.3,21.2,81.9,24.5,31.1,44.8,Florida Panthers
2024,Colorado Avalanche,49,102,.622,40,45,4,273,231,3.33,2.82,24.8,79.8,21.8,82.2,29.9,25.9,47.1,Florida Panthers
2024,Columbus Blue Jackets,40,89,.543,30,34,6,267,267,3.26,3.26,19.5,77.0,15.7,81.1,29.0,29.9,47.8,Florida Panthers
2024,Dallas Stars,50,106,.646,41,48,2,275,222,3.35,2.71,22.0,82.0,20.4,85.5,28.4,29.0,52.1,Florida Panthers
2024,Detroit Red Wings,39,86,.524,30,36,3,235,259,2.87,3.16,27.0,70.1,24.1,71.2,27.4,28.5,49.0,Florida Panthers
2024,Edmonton Oilers,48,101,.616,36,48,0,259,235,3.16,2.87,23.7,78.2,21.9,80.6,32.0,27.0,50.9,Florida Panthers
2024,Florida Panthers,47,98,.598,37,41,6,246,223,3.00,2.72,23.5,80.7,19.3,85.7,31.6,26.2,49.4,Florida Panthers
2024,Los Angeles Kings,48,105,.640,43,47,1,249,203,3.04,2.48,17.9,81.4,15.0,83.1,28.1,25.5,50.6,Florida Panthers
2024,Minnesota Wild,45,97,.591,33,42,3,225,236,2.74,2.88,20.9,72.4,18.9,74.4,27.6,29.6,46.7,Florida Panthers
2024,Montreal Canadiens,40,91,.555,30,38,2,243,261,2.96,3.18,20.1,80.9,17.5,84.4,25.6,29.0,50.8,Florida Panthers
2024,Nashville Predators,30,68,.415,24,28,2,212,274,2.59,3.34,21.9,81.5,19.7,81.9,29.3,28.6,51.3,Florida Panthers
2024,New Jersey Devils,42,91,.555,36,40,2,240,220,2.93,2.68,28.2,82.7,26.4,85.8,28.1,26.4,49.8,Florida Panthers
2024,New York Islanders,35,82,.500,28,33,2,222,257,2.71,3.13,12.6,72.2,8.7,77.2,29.5,28.7,54.9,Florida Panthers
2024,New York Rangers,39,85,.518,35,38,1,255,255,3.11,3.11,17.6,80.3,14.3,87.9,28.6,29.9,53.6,Florida Panthers
2024,Ottawa Senators,45,97,.591,35,44,1,242,232,2.95,2.83,23.8,77.7,22.7,81.7,29.3,28.6,53.1,Florida Panthers
2024,Philadelphia Flyers,33,76,.463,21,27,6,232,283,2.83,3.45,15.0,77.6,10.3,79.6,27.0,27.0,49.9,Florida Panthers
2024,Pittsburgh Penguins,34,80,.488,24,33,1,242,287,2.95,3.50,25.8,77.8,23.5,80.1,28.3,30.1,52.8,Florida Panthers
2024,San Jose Sharks,20,52,.317,14,18,2,208,310,2.54,3.78,18.6,74.2,15.0,76.2,26.9,31.8,48.1,Florida Panthers
2024,St. Louis Blues,44,96,.585,32,40,4,250,231,3.05,2.82,22.1,74.2,19.5,76.3,26.7,27.3,51.6,Florida Panthers
2024,Tampa Bay Lightning,47,102,.622,41,45,2,292,216,3.56,2.63,25.9,81.6,20.3,86.9,28.5,28.2,50.1,Florida Panthers
2024,Toronto Maple Leafs,52,108,.659,40,51,1,267,229,3.26,2.79,24.8,77.9,21.6,80.4,28.0,29.3,53.7,Florida Panthers
2024,Vancouver Canucks,38,90,.549,28,35,3,233,251,2.84,3.06,22.5,82.6,19.4,84.4,25.5,26.8,48.9,Florida Panthers
2024,Washington Capitals,51,111,.677,43,49,2,286,229,3.49,2.79,23.5,82.0,20.4,85.4,27.6,27.2,50.2,Florida Panthers
2024,Winnipeg Jets,56,116,.707,43,54,2,275,190,3.35,2.32,28.9,79.4,27.1,81.4,28.2,27.2,49.3,Florida Panthers
2024,Vegas Golden Knights,50,110,.671,46,49,1,274,214,3.34,2.61,28.3,75.7,26.7,79.3,30.3,26.1,50.4,Florida Panthers
2024,Seattle Kraken,35,76,.463,28,33,2,245,262,2.99,3.20,18.9,77.2,17.2,78.8,27.4,28.6,48.6,Florida Panthers